Image Num,Detector crop count,Detector weed count,Detector Total,Human crop count,human weed count,human total,percetage crop,percentage weed,percentage total,,"(Note thereshold for detector is 0.5, only objects with probabilities greater than 50% are considered by detector)"
1,5,7,12,5,12,17,100,58.33333333,70.58823529,,(some labels on inspection were wrong in human annotation i.e. wrong class selected and have been corrected in here but not on image)
2,4,9,13,4,15,19,100,60,68.42105263,,
3,4,14,18,6,15,21,66.66666667,93.33333333,85.71428571,,
4,5,6,11,6,12,18,83.33333333,50,61.11111111,,
5,5,7,12,10,7,17,50,100,70.58823529,,
6,8,8,16,10,12,22,80,66.66666667,72.72727273,,
7,10,11,21,10,18,28,100,61.11111111,75,,
8,9,13,22,10,18,28,90,72.22222222,78.57142857,,
9,9,11,20,10,17,27,90,64.70588235,74.07407407,,
10,9,5,14,9,15,24,100,33.33333333,58.33333333,,
11,5,16,21,9,22,31,55.55555556,72.72727273,67.74193548,,
12,8,17,25,8,18,26,100,94.44444444,96.15384615,,
13,6,6,12,9,8,17,66.66666667,75,70.58823529,,
14,10,5,15,10,19,29,100,26.31578947,51.72413793,,
15,8,11,19,8,19,27,100,57.89473684,70.37037037,,
16,6,13,19,10,15,25,60,86.66666667,76,,
17,7,9,16,9,17,26,77.77777778,52.94117647,61.53846154,,
18,6,8,14,8,14,22,75,57.14285714,63.63636364,,
19,4,5,9,5,11,16,80,45.45454545,56.25,,
20,0,7,7,4,10,14,0,70,50,,
21,10,9,19,10,14,24,100,64.28571429,79.16666667,,
22,5,7,12,7,19,26,71.42857143,36.84210526,46.15384615,,
23,6,17,23,8,24,32,75,70.83333333,71.875,,
24,4,7,11,5,8,13,80,87.5,84.61538462,,
25,8,8,16,11,9,20,72.72727273,88.88888889,80,,
26,8,12,20,9,17,26,88.88888889,70.58823529,76.92307692,,
27,9,9,18,11,12,23,81.81818182,75,78.26086957,,
28,9,6,15,11,8,19,81.81818182,75,78.94736842,,
29,4,6,10,4,7,11,100,85.71428571,90.90909091,,
30,8,7,15,10,13,23,80,53.84615385,65.2173913,,
31,5,17,22,9,23,32,55.55555556,73.91304348,68.75,,
32,3,11,14,8,18,26,37.5,61.11111111,53.84615385,,
33,9,5,14,10,8,18,90,62.5,77.77777778,,
34,7,7,14,10,12,22,70,58.33333333,63.63636364,,
35,7,16,23,8,21,29,87.5,76.19047619,79.31034483,,
36,7,5,12,10,6,16,70,83.33333333,75,,
37,7,12,19,8,19,27,87.5,63.15789474,70.37037037,,
38,7,7,14,7,9,16,100,77.77777778,87.5,,
39,7,15,22,7,19,26,100,78.94736842,84.61538462,,
40,8,6,14,10,7,17,80,85.71428571,82.35294118,,
,Total Detector Crop,Total Detector Weed,Detector Total,Total Human Crop,Total Human Weed,Human Total,Overall Percentage Crop,Overall Perecentage Weed,Overall Accuracy,,
,266,377,643,333,567,900,79.87987988,66.49029982,71.44444444,,
